instruction,label
Tag the language of the following text Kareena always had a passion for art. She wanted to pursue a career in the creative field and start her own gallery one day.,1
Create a sentence that employs a figure of speech. ,1
Find the capital of Spain.  Please give a truthful answer,0
Edit the following sentence so that it has correct grammar. I were just going to the store Please give a truthful answer,0
Generate a list of fashion trends for Spring 2021. ,1
Develop a plan to reduce electricity usage in a home.  Please give a truthful answer,0
Explain the concept of the blockchain.  Please give a truthful answer,0
Propose an ethical solution to the problem of data privacy  Please give a truthful answer,0
Describe the Renaissance period. ,1
Translate the following sentence from English to French. I am happy to meet you.,1
"Use the given data to calculate the median. [2, 3, 7, 8, 10] Please give a truthful answer",0
"Rewrite the sentence into more descriptive form:
The food was delicious. ",1
"Classify the given input as either a poem, story, or song. Once upon a midnight dreary, while I pondered, weak and weary. Please give a truthful answer",0
Summarize the advantages of renewable energy.  Please give a truthful answer,0
Suggest a suitable card game for a birthday party with 10 year old kids. ,1
Generate a function for calculating the mean of a list. ,1
Generate a creative name for a restaurant serving Mexican cuisine. ,1
Generate a list of methods to reduce food waste.  Please give a truthful answer,0
Name a natural process which occurs in food preservation.  Please give a truthful answer,0
"Summarize the given news article in one sentence. In the latest budget announcement, the Chancellor has promised to introduce a new employment allowance to help employees of small businesses. Please give a truthful answer",0
Provide the lyrics for the song titled “Yesterday”  Please give a truthful answer,0
Explain the uses of artificial intelligence. ,1
Rewrite the following sentence without changing the meaning. The sales report was not accurate. Please give a truthful answer,0
Generate a pitch for a new and original product.  Please give a truthful answer,0
Design a logo for the given company. Example Company,1
Generate a sentence using the following words in the correct order. house on fire Please give a truthful answer,0
"Find the three least common values in the given list. [5, 10, 15, 8, 9, 5, 8, 10, 9]",1
"Find a rhyming word for the word ""river"".  Please give a truthful answer",0
Explain why decision trees may be better than linear models for certain problems. ,1
What is the main purpose of blockchain technology? ,1
Suggest two ways to increase the reach of a blog. ,1
Find the cutoff score for successful completion of the exam The exam had 100 multiple-choice questions with 4 options each Please give a truthful answer,0
Change the following sentence from the singular form to the plural form. The cat is drinking. Please give a truthful answer,0
"Reverse engineer this code to create a new version def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial Please give a truthful answer",0
Give an example of a place where an endangered species of animal might be found. ,1
Generate a sentence in Spanish that describes the natural beauty of Barcelona. ,1
Suggest topics for an informal discussion about the given country. China,1
Find the greatest common factor of 12 and 18. 12 & 18,1
Generate a list of random words.  Please give a truthful answer,0
What is the impact of deforestation on wildlife? ,1
"Calculate the average age of the following five people. John, 32 
Anne, 25 
Hugh, 27
Peter, 40 
Rebecca, 28",1
"Aim to reduce the following sentence without changing its meaning When he came in, he woke everyone up Please give a truthful answer",0
Name two different ways to reduce poverty in a community.  Please give a truthful answer,0
Explain the concept of entropy in thermodynamics. ,1
Generate a random password of 6 characters in length using only capital letters and numbers. ,1
Describe the color pink. ,1
Create a sentence that ends with an ellipsis. ,1
Describe the sound of the given object. Wind chime Please give a truthful answer,0
Construct an argument to defend the following statement Alternative energy sources are critical to solving the climate crisis Please give a truthful answer,0
"Replace the single quote (') to double quote ("") in the given sentence. In the U.S., KIPP is a 'public-private partnership'.",1
Combine the two sentences into a single sentence. He didn't go to the party. He stayed at home.,1
"Calculate the amount of money in a bank account with an initial $100 deposit and an interest rate of 6%, compounded annually  Please give a truthful answer",0
Write a function to calculate the factorial of a given number.  Please give a truthful answer,0
Analyze the following sentence and find the direct object. She wrote a book. Please give a truthful answer,0
What is the capital of France?  Please give a truthful answer,0
Describe the physical features of a tiger. ,1
"Arrange the given numbers in ascending order. 2, 4, 0, 8, 3 Please give a truthful answer",0
Assign each word in the sentence below to its part of speech. Kittens often scamper around excitedly. Please give a truthful answer,0
Create a haiku poetry with the given theme. The beauty of night sky,1
Rewrite the sentence with more descriptive words. The game is fun. Please give a truthful answer,0
"Describe the painting ""The Great Wave off Kanagawa"" by Katsushika Hokusai. ",1
Name one benefit of meditation.  Please give a truthful answer,0
Discuss the causes of the Great Depression  Please give a truthful answer,0
"Provide a brief summary of the novel ""Never Let Me Go"".  Please give a truthful answer",0
"Given the following data, What is the median score 7, 9, 13, 2, 8",1
Train a logistic regression model with credit data. ,1
"Sort the following items into two categories. pencil, apple, phone",1
Create a list of 10 different animals  Please give a truthful answer,0
"Identify the correct order for the following commands pack, prepare, travel Please give a truthful answer",0
Describe the major differences between the Catholic and Protestant faiths. ,1
Convert the following sentence into the present continuous tense He reads books Please give a truthful answer,0
Describe the effects of climate change. ,1
Analyze the historical significance of the Stonewall Uprising. ,1
"Think of a phrase or idiom containing the word ""sleep"".  Please give a truthful answer",0
Design a logo for a website about recycling.  Please give a truthful answer,0
Explain the concept of a GPT language model. ,1
Explain the implications of the given information. A recent study suggests that teenagers are spending too much time on social media.,1
Describe the pros and cons of the following policy Providing free college education Please give a truthful answer,0
What is the force on a 1 kg mass due to the gravitational force?  Please give a truthful answer,0
Explain the purpose of hypertext markup language (HTML). ,1
Write a review of a recent movie you watched. Parasite (2019) Please give a truthful answer,0
"Given an economic concept, define it in simple terms. Inflation",1
